"Journal Data Filtered By:  Selected Categories: IMMUNOLOGY;MYCOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Emerging Microbes & Infections","EMERG MICROBES INFEC","TAYLOR & FRANCIS LTD","N/A","2222-1751","IMMUNOLOGY","SCIE","11,908","7","Q1","1.93","100"%,
"Frontiers in Immunology","FRONT IMMUNOL","FRONTIERS MEDIA SA","1664-3224","1664-3224","IMMUNOLOGY","SCIE","284,485","7","Q1","1.06","99.9"%,
"JOURNAL OF AUTOIMMUNITY","J AUTOIMMUN","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0896-8411","1095-9157","IMMUNOLOGY","SCIE","10,950","6.8","Q1","1.59","48.47"%,
"Virulence","VIRULENCE","TAYLOR & FRANCIS INC","2150-5594","2150-5608","IMMUNOLOGY","SCIE","10,048","6.8","Q1","1.12","100"%,
"JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY","J INVEST ALLERG CLIN","ESMON PUBLICIDAD S A, DEPT ALLERGY & CLIN IMMUNOL, CLIN UNIV NAVARRA","1018-9068","1698-0808","IMMUNOLOGY","SCIE","2,538","6.6","Q1","1.01","100"%,
"INFLAMMOPHARMACOLOGY","INFLAMMOPHARMACOLOGY","SPRINGER BASEL AG","0925-4692","1568-5608","IMMUNOLOGY","SCIE","8,675","6.3","Q1","1.14","20.41"%,
"CURRENT ALLERGY AND ASTHMA REPORTS","CURR ALLERGY ASTHM R","CURRENT MEDICINE GROUP","1529-7322","1534-6315","IMMUNOLOGY","SCIE","4,149","6.3","Q1","0.77","27.68"%,
"OncoImmunology","ONCOIMMUNOLOGY","TAYLOR & FRANCIS INC","2162-402X","2162-402X","IMMUNOLOGY","SCIE","15,185","6.2","Q1","1.39","100"%,
"ALLERGOLOGY INTERNATIONAL","ALLERGOL INT","JAPANESE SOC ALLERGOLOGY","1323-8930","1440-1592","IMMUNOLOGY","SCIE","4,272","6.2","Q1","1.33","100"%,
"INFLAMMATION RESEARCH","INFLAMM RES","SPRINGER BASEL AG","1023-3830","1420-908X","IMMUNOLOGY","SCIE","8,155","6.2","Q1","0.86","22.02"%,
"Immune Network","IMMUNE NETW","KOREA ASSOC IMMUNOLOGISTS","1598-2629","2092-6685","IMMUNOLOGY","SCIE","2,699","5.9","Q1","0.87","99.22"%,
"CANCER IMMUNOLOGY IMMUNOTHERAPY","CANCER IMMUNOL IMMUN","SPRINGER","0340-7004","1432-0851","IMMUNOLOGY","SCIE","14,876","5.8","Q1","1.17","87.15"%,
"Journal of Inflammation-London","J INFLAMM-LOND","BMC","1476-9255","1476-9255","IMMUNOLOGY","SCIE","2,258","5.8","Q1","0.89","100"%,
"Mycology-An International Journal On Fungal Biology","MYCOLOGY-UK","TAYLOR & FRANCIS LTD","2150-1203","2150-1211","MYCOLOGY","ESCI","1,754","5.7","Q1","1.38","100"%,
"International Immunopharmacology","INT IMMUNOPHARMACOL","ELSEVIER","1567-5769","1878-1705","IMMUNOLOGY","SCIE","56,435","5.6","Q1","1.28","22.16"%,
"Expert Review of Vaccines","EXPERT REV VACCINES","TAYLOR & FRANCIS LTD","1476-0584","1744-8395","IMMUNOLOGY","SCIE","6,168","5.6","Q1","0.77","99.25"%,
"CURRENT OPINION IN IMMUNOLOGY","CURR OPIN IMMUNOL","CURRENT BIOLOGY LTD","0952-7915","1879-0372","IMMUNOLOGY","SCIE","9,711","5.6","Q1","0.61","39.86"%,
"Mucosal Immunology","MUCOSAL IMMUNOL","ELSEVIER SCIENCE INC","1933-0219","1935-3456","IMMUNOLOGY","SCIE","11,384","5.5","Q1","1.33","66.67"%,
"Frontiers in Cellular and Infection Microbiology","FRONT CELL INFECT MI","FRONTIERS MEDIA SA","2235-2988","2235-2988","IMMUNOLOGY","SCIE","52,581","5.5","Q1","0.94","99.9"%,
"INFLAMMATION","INFLAMMATION","SPRINGER/PLENUM PUBLISHERS","0360-3997","1573-2576","IMMUNOLOGY","SCIE","11,490","5.4","Q2","0.87","41.08"%,
"IMMUNOLOGY","IMMUNOLOGY","WILEY","0019-2805","1365-2567","IMMUNOLOGY","SCIE","13,435","5.4","Q2","0.86","32.46"%,
"INTERNATIONAL REVIEWS OF IMMUNOLOGY","INT REV IMMUNOL","TAYLOR & FRANCIS INC","0883-0185","1563-5244","IMMUNOLOGY","SCIE","2,144","5.4","Q2","0.47","5.77"%,
"Journal of the International AIDS Society","J INT AIDS SOC","WILEY","N/A","1758-2652","IMMUNOLOGY","SCIE","7,940","5.2","Q2","1","100"%,
"BONE MARROW TRANSPLANTATION","BONE MARROW TRANSPL","SPRINGERNATURE","0268-3369","1476-5365","IMMUNOLOGY","SCIE","14,738","5.1","Q2","1.08","36.08"%,
"CLINICAL AND EXPERIMENTAL ALLERGY","CLIN EXP ALLERGY","WILEY","0954-7894","1365-2222","IMMUNOLOGY","SCIE","10,030","5","Q2","0.83","57.8"%,
"HLA","HLA","WILEY","2059-2302","2059-2310","IMMUNOLOGY","SCIE","2,418","5","Q2","0.63","27.46"%,
"TRANSPLANTATION","TRANSPLANTATION","LIPPINCOTT WILLIAMS & WILKINS","0041-1337","1534-6080","IMMUNOLOGY","SCIE","23,011","4.9","Q2","1.57","17.81"%,
"MEDIATORS OF INFLAMMATION","MEDIAT INFLAMM","WILEY","0962-9351","1466-1861","IMMUNOLOGY","SCIE","17,182","4.9","Q2","0.71","100"%,
"Antibody Therapeutics","ANTIBODY THER","OXFORD UNIV PRESS","N/A","2516-4236","IMMUNOLOGY","ESCI","805","4.8","Q2","0.65","100"%,
"Transplantation and Cellular Therapy","TRANSPL CELL THER","ELSEVIER SCIENCE INC","2666-6375","2666-6367","IMMUNOLOGY","SCIE","5,391","4.7","Q2","1.22","28.92"%,
"Fish and Shellfish Immunology Reports","FISH SHELL IMMUN REP","ELSEVIER","2667-0119","2667-0119","IMMUNOLOGY","ESCI","397","4.6","Q2","0.88","100"%,
"Journal of Inflammation Research","J INFLAMM RES","DOVE MEDICAL PRESS LTD","N/A","1178-7031","IMMUNOLOGY","SCIE","14,066","4.6","Q2","0.85","99.24"%,
"Journal of Innate Immunity","J INNATE IMMUN","KARGER","1662-811X","1662-8128","IMMUNOLOGY","SCIE","3,241","4.6","Q2","0.82","100"%,
"EXERCISE IMMUNOLOGY REVIEW","EXERC IMMUNOL REV","W W F VERLAGSGESELLSCHAFT GMBH","1077-5552","1077-5552","IMMUNOLOGY","SCIE","817","4.6","Q2","0.41","0"%,
"PEDIATRIC ALLERGY AND IMMUNOLOGY","PEDIAT ALLERG IMM-UK","WILEY","0905-6157","1399-3038","IMMUNOLOGY","SCIE","6,236","4.5","Q2","1.24","52.72"%,
"Immunotherapy Advances","IMMUNOTHER ADV","OXFORD UNIV PRESS","N/A","2732-4303","IMMUNOLOGY","ESCI","430","4.4","Q2","0.62","100"%,
"Journal of Fungi","J FUNGI","MDPI","N/A","2309-608X","MYCOLOGY","SCIE","26,333","4.3","Q1","0.95","99.93"%,
"Allergy Asthma & Immunology Research","ALLERGY ASTHMA IMMUN","KOREAN ACAD ASTHMA ALLERGY & CLINICAL IMMUNOLOGY","2092-7355","2092-7363","IMMUNOLOGY","SCIE","3,061","4.3","Q2","0.93","99.37"%,
"Frontiers in Fungal Biology","FRONT FUNGAL BIOL","FRONTIERS MEDIA SA","N/A","2673-6128","MYCOLOGY","ESCI","940","4.3","Q1","0.8","98.06"%,
"AUTOIMMUNITY","AUTOIMMUNITY","TAYLOR & FRANCIS LTD","0891-6934","1607-842X","IMMUNOLOGY","SCIE","2,667","4.3","Q2","0.77","100"%,
"FISH & SHELLFISH IMMUNOLOGY","FISH SHELLFISH IMMUN","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","1050-4648","1095-9947","IMMUNOLOGY","SCIE","34,738","4.2","Q2","1.51","11.45"%,
"INFECTIOUS DISEASE CLINICS OF NORTH AMERICA","INFECT DIS CLIN N AM","W B SAUNDERS CO-ELSEVIER INC","0891-5520","1557-9824","IMMUNOLOGY","SCIE","4,731","4.2","Q2","1.06","7.25"%,
"GENES AND IMMUNITY","GENES IMMUN","SPRINGERNATURE","1466-4879","1476-5470","IMMUNOLOGY","SCIE","2,829","4.2","Q2","0.81","39.55"%,
"Human Vaccines & Immunotherapeutics","HUM VACC IMMUNOTHER","TAYLOR & FRANCIS INC","2164-5515","2164-554X","IMMUNOLOGY","SCIE","16,984","4.2","Q2","0.74","100"%,
"MycoKeys","MYCOKEYS","PENSOFT PUBLISHERS","1314-4057","1314-4049","MYCOLOGY","SCIE","2,721","4.1","Q1","1.2","99.52"%,
"JOURNAL OF INFECTIOUS DISEASES","J INFECT DIS","OXFORD UNIV PRESS INC","0022-1899","1537-6613","IMMUNOLOGY","SCIE","44,581","4.1","Q2","1.1","44.89"%,
"JOURNAL OF CLINICAL IMMUNOLOGY","J CLIN IMMUNOL","SPRINGER/PLENUM PUBLISHERS","0271-9142","1573-2592","IMMUNOLOGY","SCIE","7,123","4.1","Q2","1.04","62.47"%,
"Fungal Biology Reviews","FUNGAL BIOL REV","ELSEVIER SCI LTD","1749-4613","1878-0253","MYCOLOGY","SCIE","2,204","4.1","Q1","0.94","35.71"%,
"MYCOPATHOLOGIA","MYCOPATHOLOGIA","SPRINGER","0301-486X","1573-0832","MYCOLOGY","SCIE","4,622","4.1","Q1","0.84","28.68"%,
"CLINICAL IMMUNOLOGY","CLIN IMMUNOL","ACADEMIC PRESS INC ELSEVIER SCIENCE","1521-6616","1521-7035","IMMUNOLOGY","SCIE","10,560","4.1","Q2","0.8","30.38"%,
"EUROPEAN JOURNAL OF IMMUNOLOGY","EUR J IMMUNOL","WILEY-V C H VERLAG GMBH","0014-2980","1521-4141","IMMUNOLOGY","SCIE","19,347","4.1","Q2","0.65","65.19"%,
"ImmunoTargets and Therapy","IMMUNOTARGETS THER","DOVE MEDICAL PRESS LTD","N/A","2253-1556","IMMUNOLOGY","ESCI","1,277","4.1","Q2","0.65","99.37"%,
"IMA Fungus","IMA FUNGUS","PENSOFT PUBLISHERS","2210-6340","2210-6359","MYCOLOGY","SCIE","1,965","4","Q2","1.27","100"%,
"MYCORRHIZA","MYCORRHIZA","SPRINGER","0940-6360","1432-1890","MYCOLOGY","SCIE","4,444","4","Q2","0.96","34.93"%,
"World Allergy Organization Journal","WORLD ALLERGY ORGAN","ELSEVIER","1939-4551","1939-4551","IMMUNOLOGY","SCIE","4,620","4","Q2","0.93","99.47"%,
"JOURNAL OF IMMUNOLOGY","J IMMUNOL","OXFORD UNIV PRESS","0022-1767","1550-6606","IMMUNOLOGY","SCIE","95,270","4","Q2","0.76","12.25"%,
"Expert Review of Clinical Immunology","EXPERT REV CLIN IMMU","TAYLOR & FRANCIS LTD","1744-666X","1744-8409","IMMUNOLOGY","SCIE","4,861","4","Q2","0.5","4.42"%,
"MICROBIAL PATHOGENESIS","MICROB PATHOGENESIS","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0882-4010","1096-1208","IMMUNOLOGY","SCIE","20,693","3.9","Q2","0.86","8.87"%,
"CLINICAL AND EXPERIMENTAL IMMUNOLOGY","CLIN EXP IMMUNOL","OXFORD UNIV PRESS","0009-9104","1365-2249","IMMUNOLOGY","SCIE","12,550","3.9","Q2","0.68","39.08"%,
"Immunometabolism","IMMUNOMETABOLISM","LIPPINCOTT WILLIAMS & WILKINS","2633-0407","2633-0407","IMMUNOLOGY","ESCI","453","3.9","Q2","0.39","100"%,
"Brain Behavior & Immunity-Health","BRAIN BEHAV IMMUN-HL","ELSEVIER","2666-3546","2666-3546","IMMUNOLOGY","ESCI","3,256","3.8","Q2","0.92","100"%,
"JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION","J MICROBIOL IMMUNOL","ELSEVIER TAIWAN","1684-1182","1995-9133","IMMUNOLOGY","SCIE","4,598","3.8","Q2","0.86","100"%,
"Open Forum Infectious Diseases","OPEN FORUM INFECT DI","OXFORD UNIV PRESS INC","2328-8957","2328-8957","IMMUNOLOGY","SCIE","16,649","3.8","Q2","0.83","99.9"%,
"Journal of Translational Autoimmunity","J TRANSL AUTOIMMUN","ELSEVIER","2589-9090","2589-9090","IMMUNOLOGY","ESCI","1,144","3.8","Q2","0.78","100"%,
"MOLECULAR IMMUNOLOGY","MOL IMMUNOL","PERGAMON-ELSEVIER SCIENCE LTD","0161-5890","1872-9142","IMMUNOLOGY","SCIE","12,839","3.7","Q2","0.72","25.61"%,
"NEUROIMMUNOMODULATION","NEUROIMMUNOMODULAT","KARGER","1021-7401","1423-0216","IMMUNOLOGY","SCIE","1,709","3.7","Q2","0.55","100"%,
"FOOD AND AGRICULTURAL IMMUNOLOGY","FOOD AGR IMMUNOL","TAYLOR & FRANCIS LTD","0954-0105","1465-3443","IMMUNOLOGY","SCIE","1,603","3.7","Q2","0.49","100"%,
"CYTOKINE","CYTOKINE","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","1043-4666","1096-0023","IMMUNOLOGY","SCIE","14,909","3.6","Q2","0.66","21.92"%,
"JOURNAL OF REPRODUCTIVE IMMUNOLOGY","J REPROD IMMUNOL","ELSEVIER IRELAND LTD","0165-0378","1872-7603","IMMUNOLOGY","SCIE","4,817","3.5","Q2","1.05","22.54"%,
"MEDICAL MYCOLOGY","MED MYCOL","OXFORD UNIV PRESS","1369-3786","1460-2709","MYCOLOGY","SCIE","6,468","3.5","Q2","0.98","18.48"%,
"Mycotoxin Research","MYCOTOXIN RES","SPRINGER HEIDELBERG","0178-7888","1867-1632","MYCOLOGY","SCIE","1,673","3.5","Q2","0.82","32.39"%,
"Fungal Ecology","FUNGAL ECOL","ELSEVIER SCI LTD","1754-5048","1878-0083","MYCOLOGY","SCIE","3,953","3.5","Q2","0.73","45.86"%,
"Vaccines","VACCINES-BASEL","MDPI","N/A","2076-393X","IMMUNOLOGY","SCIE","29,837","3.5","Q2","0.72","100"%,
"FEMS YEAST RESEARCH","FEMS YEAST RES","OXFORD UNIV PRESS","1567-1356","1567-1364","MYCOLOGY","SCIE","4,899","3.5","Q2","0.66","80.61"%,
"Immunity Inflammation and Disease","IMMUN INFLAMM DIS","WILEY","N/A","2050-4527","IMMUNOLOGY","SCIE","4,070","3.5","Q2","0.6","100"%,
"Innate Immunity","INNATE IMMUN-LONDON","SAGE PUBLICATIONS LTD","1753-4259","1753-4267","IMMUNOLOGY","SCIE","1,830","3.5","Q2","0.59","100"%,
"MYCOSES","MYCOSES","WILEY","0933-7407","1439-0507","MYCOLOGY","SCIE","6,182","3.4","Q3","1.11","36.94"%,
"Vaccine","VACCINE","ELSEVIER SCI LTD","0264-410X","1873-2518","IMMUNOLOGY","SCIE","48,580","3.4","Q3","0.83","54.63"%,
"Clinical & Translational Immunology","CLIN TRANSL IMMUNOL","WILEY","N/A","2050-0068","IMMUNOLOGY","SCIE","2,806","3.4","Q3","0.76","100"%,
"INFECTION AND IMMUNITY","INFECT IMMUN","AMER SOC MICROBIOLOGY","0019-9567","1098-5522","IMMUNOLOGY","SCIE","36,589","3.4","Q3","0.74","54.4"%,
"Current Opinion in HIV and AIDS","CURR OPIN HIV AIDS","LIPPINCOTT WILLIAMS & WILKINS","1746-630X","1746-6318","IMMUNOLOGY","SCIE","2,728","3.4","Q3","0.71","24.28"%,
"JOURNAL OF LEUKOCYTE BIOLOGY","J LEUKOCYTE BIOL","OXFORD UNIV PRESS","0741-5400","1938-3673","IMMUNOLOGY","SCIE","18,598","3.4","Q3","0.62","30.64"%,
"INTERNATIONAL IMMUNOLOGY","INT IMMUNOL","OXFORD UNIV PRESS","0953-8178","1460-2377","IMMUNOLOGY","SCIE","6,320","3.4","Q3","0.57","22.94"%,
