"Journal Data Filtered By:  Selected Categories: PHARMACOLOGY & PHARMACY;INFECTIOUS DISEASES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"PHYTOTHERAPY RESEARCH","PHYTOTHER RES","WILEY","0951-418X","1099-1573","PHARMACOLOGY & PHARMACY","SCIE","27,544","8.1","Q1","1.41","11.87"%,
"EUROPEAN NEUROPSYCHOPHARMACOLOGY","EUR NEUROPSYCHOPHARM","ELSEVIER","0924-977X","1873-7862","PHARMACOLOGY & PHARMACY","SCIE","9,428","8.1","Q1","1.37","59.11"%,
"DRUG DELIVERY","DRUG DELIV","TAYLOR & FRANCIS LTD","1071-7544","1521-0464","PHARMACOLOGY & PHARMACY","SCIE","13,146","8","Q1","2.33","100"%,
"International Journal of Pharmaceutics-X","INT J PHARM-X","ELSEVIER","N/A","2590-1567","PHARMACOLOGY & PHARMACY","SCIE","2,180","7.9","Q1","2.06","100"%,
"EMERGING INFECTIOUS DISEASES","EMERG INFECT DIS","CENTERS DISEASE CONTROL & PREVENTION","1080-6040","1080-6059","INFECTIOUS DISEASES","SCIE","34,822","7.9","Q1","1.61","98.66"%,
"NEUROPSYCHOPHARMACOLOGY","NEUROPSYCHOPHARMACOL","SPRINGERNATURE","0893-133X","1740-634X","PHARMACOLOGY & PHARMACY","SCIE","32,107","7.6","Q1","1.63","50.27"%,
"BRITISH JOURNAL OF PHARMACOLOGY","BRIT J PHARMACOL","WILEY","0007-1188","1476-5381","PHARMACOLOGY & PHARMACY","SCIE","39,682","7.5","Q1","1.65","50.48"%,
"Chinese Journal of Natural Medicines","CHIN J NAT MEDICINES","CHINESE JOURNAL NATURAL MEDICINES","2095-6975","1875-5364","PHARMACOLOGY & PHARMACY","SCIE","5,085","7.5","Q1","1.39","7.54"%,
"Neurotherapeutics","NEUROTHERAPEUTICS","ELSEVIER SCIENCE INC","1933-7213","1878-7479","PHARMACOLOGY & PHARMACY","SCIE","11,851","7.4","Q1","1.94","84.52"%,
"Infectious Diseases of Poverty","INFECT DIS POVERTY","BMC","2095-5162","2049-9957","INFECTIOUS DISEASES","SCIE","5,415","7.4","Q1","1.71","100"%,
"Chinese Medicine","CHIN MED-UK","BMC","1749-8546","1749-8546","PHARMACOLOGY & PHARMACY","SCIE","7,865","7.4","Q1","1.49","100"%,
"Expert Opinion on Drug Discovery","EXPERT OPIN DRUG DIS","TAYLOR & FRANCIS LTD","1746-0441","1746-045X","PHARMACOLOGY & PHARMACY","SCIE","7,648","7.3","Q1","0.87","7.09"%,
"Current Molecular Pharmacology","CURR MOL PHARMACOL","KEAI PUBLISHING LTD","1874-4672","1874-4702","PHARMACOLOGY & PHARMACY","SCIE","2,562","7.2","Q1","0.97","58.16"%,
"Emerging Microbes & Infections","EMERG MICROBES INFEC","TAYLOR & FRANCIS LTD","N/A","2222-1751","INFECTIOUS DISEASES","SCIE","11,908","7","Q1","1.93","100"%,
"CNS DRUGS","CNS DRUGS","ADIS INT LTD","1172-7047","1179-1934","PHARMACOLOGY & PHARMACY","SCIE","7,910","7","Q1","1.64","55.83"%,
"Journal of Clinical Lipidology","J CLIN LIPIDOL","ELSEVIER SCIENCE INC","1933-2874","1876-4789","PHARMACOLOGY & PHARMACY","SCIE","5,163","6.9","Q1","1.43","23.72"%,
"Drug Delivery and Translational Research","DRUG DELIV TRANSL RE","SPRINGER HEIDELBERG","2190-393X","2190-3948","PHARMACOLOGY & PHARMACY","SCIE","10,319","6.9","Q1","1.38","39.34"%,
"Pharmaceutics","PHARMACEUTICS","MDPI","N/A","1999-4923","PHARMACOLOGY & PHARMACY","SCIE","82,501","6.9","Q1","1.26","99.93"%,
"ALIMENTARY PHARMACOLOGY & THERAPEUTICS","ALIMENT PHARM THER","WILEY","0269-2813","1365-2036","PHARMACOLOGY & PHARMACY","SCIE","24,989","6.8","Q1","1.69","47.44"%,
"JOURNAL OF ETHNOPHARMACOLOGY","J ETHNOPHARMACOL","ELSEVIER IRELAND LTD","0378-8741","1872-7573","PHARMACOLOGY & PHARMACY","SCIE","72,710","6.8","Q1","1.52","12.52"%,
"CLINICAL AND EXPERIMENTAL HYPERTENSION","CLIN EXP HYPERTENS","TAYLOR & FRANCIS INC","1064-1963","1525-6006","PHARMACOLOGY & PHARMACY","SCIE","2,448","6.8","Q1","1.16","99.32"%,
"Virulence","VIRULENCE","TAYLOR & FRANCIS INC","2150-5594","2150-5608","INFECTIOUS DISEASES","SCIE","10,048","6.8","Q1","1.12","100"%,
"CNS Neuroscience & Therapeutics","CNS NEUROSCI THER","WILEY","1755-5930","1755-5949","PHARMACOLOGY & PHARMACY","SCIE","14,945","6.6","Q1","1.38","99.93"%,
"BIOCHEMICAL PHARMACOLOGY","BIOCHEM PHARMACOL","PERGAMON-ELSEVIER SCIENCE LTD","0006-2952","1873-2968","PHARMACOLOGY & PHARMACY","SCIE","36,714","6.5","Q1","1.27","22.66"%,
"LIFE SCIENCES","LIFE SCI","PERGAMON-ELSEVIER SCIENCE LTD","0024-3205","1879-0631","PHARMACOLOGY & PHARMACY","SCIE","51,400","6.4","Q1","1.39","17.97"%,
"Journal of Neuroimmune Pharmacology","J NEUROIMMUNE PHARM","SPRINGER","1557-1890","1557-1904","PHARMACOLOGY & PHARMACY","SCIE","3,663","6.1","Q1","1.3","37.37"%,
"Drug Design Development and Therapy","DRUG DES DEV THER","DOVE MEDICAL PRESS LTD","1177-8881","N/A","PHARMACOLOGY & PHARMACY","SCIE","19,401","6.1","Q1","1.2","99.71"%,
"Current Neuropharmacology","CURR NEUROPHARMACOL","BENTHAM SCIENCE PUBL LTD","1570-159X","1875-6190","PHARMACOLOGY & PHARMACY","SCIE","10,789","6.1","Q1","0.89","6.99"%,
"PHARMACEUTICAL BIOLOGY","PHARM BIOL","TAYLOR & FRANCIS LTD","1388-0209","1744-5116","PHARMACOLOGY & PHARMACY","SCIE","10,407","6","Q1","1.7","100"%,
"International Journal of Pharmaceutics","INT J PHARMACEUT","ELSEVIER","0378-5173","1873-3476","PHARMACOLOGY & PHARMACY","SCIE","74,091","6","Q1","1.58","28.04"%,
"Expert Opinion on Drug Delivery","EXPERT OPIN DRUG DEL","TAYLOR & FRANCIS LTD","1742-5247","1744-7593","PHARMACOLOGY & PHARMACY","SCIE","10,389","6","Q1","0.86","5.71"%,
"New Microbes and New Infections","NEW MICROB NEW INFEC","ELSEVIER SCI LTD","N/A","2052-2975","INFECTIOUS DISEASES","ESCI","2,291","6","Q1","0.6","100"%,
"DRUG SAFETY","DRUG SAFETY","ADIS INT LTD","0114-5916","1179-1942","PHARMACOLOGY & PHARMACY","SCIE","7,886","5.9","Q1","1.32","60.93"%,
"One Health Outlook","ONE HEALTH OUTLOOK","BMC","2524-4655","2524-4655","INFECTIOUS DISEASES","ESCI","738","5.9","Q1","0.81","100"%,
"Molecular Diagnosis & Therapy","MOL DIAGN THER","ADIS INT LTD","1177-1062","1179-2000","PHARMACOLOGY & PHARMACY","SCIE","2,564","5.8","Q1","1.06","40.23"%,
"Frontiers in Drug Discovery","FRONT DRUG DISCOV","FRONTIERS MEDIA SA","N/A","2674-0338","PHARMACOLOGY & PHARMACY","ESCI","529","5.8","Q1","0.54","100"%,
"European Journal of Pharmacology","EUR J PHARMACOL","ELSEVIER","0014-2999","1879-0712","PHARMACOLOGY & PHARMACY","SCIE","43,626","5.7","Q1","1.45","18.9"%,
"Marine Drugs","MAR DRUGS","MDPI","N/A","1660-3397","PHARMACOLOGY & PHARMACY","SCIE","37,572","5.7","Q1","1.22","100"%,
