"Journal Data Filtered By:  Selected Categories: PHARMACOLOGY & PHARMACY;INFECTIOUS DISEASES Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Australian Prescriber","AUST PRESCR","Therapeutic Guidelines Ltd","0312-8008","1839-3942","PHARMACOLOGY & PHARMACY","ESCI","1,193","4.3","Q2","0.9","100"%,
"EXPERT OPINION ON INVESTIGATIONAL DRUGS","EXPERT OPIN INV DRUG","TAYLOR & FRANCIS LTD","1354-3784","1744-7658","PHARMACOLOGY & PHARMACY","SCIE","5,677","4.3","Q2","0.68","5.47"%,
"Expert Review of Neurotherapeutics","EXPERT REV NEUROTHER","TAYLOR & FRANCIS LTD","1473-7175","1744-8360","PHARMACOLOGY & PHARMACY","SCIE","6,194","4.3","Q2","0.68","7.36"%,
"ANTIMICROBIAL AGENTS AND CHEMOTHERAPY","ANTIMICROB AGENTS CH","AMER SOC MICROBIOLOGY","0066-4804","1098-6596","PHARMACOLOGY & PHARMACY","SCIE","62,662","4.2","Q2","1.13","65.14"%,
"PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY","PROG NEURO-PSYCHOPH","PERGAMON-ELSEVIER SCIENCE LTD","0278-5846","1878-4216","PHARMACOLOGY & PHARMACY","SCIE","15,762","4.2","Q2","1.11","26.79"%,
"INFECTIOUS DISEASE CLINICS OF NORTH AMERICA","INFECT DIS CLIN N AM","W B SAUNDERS CO-ELSEVIER INC","0891-5520","1557-9824","INFECTIOUS DISEASES","SCIE","4,731","4.2","Q1","1.06","7.25"%,
"DRUG DEVELOPMENT RESEARCH","DRUG DEVELOP RES","WILEY","0272-4391","1098-2299","PHARMACOLOGY & PHARMACY","SCIE","4,486","4.2","Q2","0.95","13.18"%,
"DRUGS & AGING","DRUG AGING","ADIS INT LTD","1170-229X","1179-1969","PHARMACOLOGY & PHARMACY","SCIE","4,941","4.2","Q2","0.81","41.31"%,
"JOURNAL OF INFECTIOUS DISEASES","J INFECT DIS","OXFORD UNIV PRESS INC","0022-1899","1537-6613","INFECTIOUS DISEASES","SCIE","44,581","4.1","Q1","1.1","44.89"%,
"JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY","J ANTIMICROB CHEMOTH","OXFORD UNIV PRESS","0305-7453","1460-2091","INFECTIOUS DISEASES","SCIE","33,001","4.1","Q1","0.99","39.24"%,
"JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY","J ANTIMICROB CHEMOTH","OXFORD UNIV PRESS","0305-7453","1460-2091","PHARMACOLOGY & PHARMACY","SCIE","33,001","4.1","Q2","0.99","39.24"%,
"SKIN PHARMACOLOGY AND PHYSIOLOGY","SKIN PHARMACOL PHYS","KARGER","1660-5527","1660-5535","PHARMACOLOGY & PHARMACY","SCIE","2,267","4.1","Q2","0.86","25"%,
"PHARMACEUTICAL RESEARCH","PHARM RES-DORDR","SPRINGER/PLENUM PUBLISHERS","0724-8741","1573-904X","PHARMACOLOGY & PHARMACY","SCIE","19,805","4.1","Q2","0.8","29.88"%,
"Infectious Medicine","INFECT MED-UK","ELSEVIER","2097-0684","2772-431X","INFECTIOUS DISEASES","ESCI","538","4.1","Q1","0.72","100"%,
"CLINICAL PHARMACOKINETICS","CLIN PHARMACOKINET","ADIS INT LTD","0312-5963","1179-1926","PHARMACOLOGY & PHARMACY","SCIE","12,151","4","Q2","0.9","58.87"%,
"ACS Pharmacology & Translational Science","ACS PHARMACOL TRANSL","AMER CHEMICAL SOC","N/A","2575-9108","PHARMACOLOGY & PHARMACY","ESCI","4,370","4","Q2","0.88","32.57"%,
"NAUNYN-SCHMIEDEBERGS ARCHIVES OF PHARMACOLOGY","N-S ARCH PHARMACOL","SPRINGER","0028-1298","1432-1912","PHARMACOLOGY & PHARMACY","SCIE","12,190","4","Q2","0.79","22.91"%,
"PHARMACOTHERAPY","PHARMACOTHERAPY","WILEY","0277-0008","1875-9114","PHARMACOLOGY & PHARMACY","SCIE","7,303","4","Q2","0.77","27.68"%,
"Influenza and Other Respiratory Viruses","INFLUENZA OTHER RESP","WILEY","1750-2640","1750-2659","INFECTIOUS DISEASES","SCIE","4,428","3.9","Q2","1.1","100"%,
"INFECTION","INFECTION","SPRINGER HEIDELBERG","0300-8126","1439-0973","INFECTIOUS DISEASES","SCIE","6,528","3.9","Q2","1.04","73.19"%,
"JAC-Antimicrobial Resistance","JAC-ANTIMICROB RESIS","OXFORD UNIV PRESS","N/A","2632-1823","INFECTIOUS DISEASES","ESCI","3,290","3.9","Q2","0.86","99.82"%,
"JAC-Antimicrobial Resistance","JAC-ANTIMICROB RESIS","OXFORD UNIV PRESS","N/A","2632-1823","PHARMACOLOGY & PHARMACY","ESCI","3,290","3.9","Q2","0.86","99.82"%,
"JOURNAL OF PHARMACEUTICAL SCIENCES","J PHARM SCI-US","ELSEVIER SCIENCE INC","0022-3549","1520-6017","PHARMACOLOGY & PHARMACY","SCIE","27,657","3.9","Q2","0.83","13.6"%,
"Current Fungal Infection Reports","CURR FUNGAL INFECT R","SPRINGER","1936-3761","1936-377X","INFECTIOUS DISEASES","ESCI","714","3.9","Q2","0.79","20"%,
"Frontiers in Antibiotics","FRONT ANTIBIOT","FRONTIERS MEDIA SA","N/A","2813-2467","PHARMACOLOGY & PHARMACY","ESCI","272","3.9","Q2","0.53","98.65"%,
"Journal of Cannabis Research","J CANNABIS RES","BMC","N/A","2522-5782","PHARMACOLOGY & PHARMACY","ESCI","1,145","3.8","Q2","1.03","100"%,
"NEUROTOXICOLOGY","NEUROTOXICOLOGY","ELSEVIER","0161-813X","1872-9711","PHARMACOLOGY & PHARMACY","SCIE","8,095","3.8","Q2","0.98","17.18"%,
"PULMONARY PHARMACOLOGY & THERAPEUTICS","PULM PHARMACOL THER","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","1094-5539","N/A","PHARMACOLOGY & PHARMACY","SCIE","2,769","3.8","Q2","0.87","20.79"%,
"JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION","J MICROBIOL IMMUNOL","ELSEVIER TAIWAN","1684-1182","1995-9133","INFECTIOUS DISEASES","SCIE","4,598","3.8","Q2","0.86","100"%,
"Open Forum Infectious Diseases","OPEN FORUM INFECT DI","OXFORD UNIV PRESS INC","2328-8957","2328-8957","INFECTIOUS DISEASES","SCIE","16,649","3.8","Q2","0.83","99.9"%,
"Therapeutic Advances in Infectious Disease","THER ADV INFECT DIS","SAGE PUBLICATIONS LTD","2049-9361","2049-937X","INFECTIOUS DISEASES","ESCI","1,616","3.8","Q2","0.68","100"%,
"EXPERT OPINION ON EMERGING DRUGS","EXPERT OPIN EMERG DR","TAYLOR & FRANCIS LTD","1472-8214","1744-7623","PHARMACOLOGY & PHARMACY","SCIE","924","3.8","Q2","0.51","4.69"%,
"MALARIA JOURNAL","MALARIA J","BMC","N/A","1475-2875","INFECTIOUS DISEASES","SCIE","19,702","3.7","Q2","1.07","100"%,
"PEDIATRIC DRUGS","PEDIATR DRUGS","ADIS INT LTD","1174-5878","1179-2019","PHARMACOLOGY & PHARMACY","SCIE","2,300","3.7","Q2","1.03","34.59"%,
"VASCULAR PHARMACOLOGY","VASC PHARMACOL","ELSEVIER SCIENCE INC","1537-1891","1879-3649","PHARMACOLOGY & PHARMACY","SCIE","3,765","3.7","Q2","0.98","33.33"%,
"JOURNAL OF NATURAL PRODUCTS","J NAT PROD","AMER CHEMICAL SOC","0163-3864","1520-6025","PHARMACOLOGY & PHARMACY","SCIE","27,593","3.7","Q2","0.95","19.38"%,
"Journal of Global Antimicrobial Resistance","J GLOB ANTIMICROB RE","ELSEVIER SCI LTD","2213-7165","2213-7173","INFECTIOUS DISEASES","SCIE","6,694","3.7","Q2","0.93","99.68"%,
"Journal of Global Antimicrobial Resistance","J GLOB ANTIMICROB RE","ELSEVIER SCI LTD","2213-7165","2213-7173","PHARMACOLOGY & PHARMACY","SCIE","6,694","3.7","Q2","0.93","99.68"%,
"Journal of Psychedelic Studies","J PSYCHEDELIC STUD","AKADEMIAI KIADO ZRT","N/A","2559-9283","PHARMACOLOGY & PHARMACY","ESCI","712","3.7","Q2","0.9","99.02"%,
"JOURNAL OF PHARMACY AND PHARMACOLOGY","J PHARM PHARMACOL","OXFORD UNIV PRESS","0022-3573","2042-7158","PHARMACOLOGY & PHARMACY","SCIE","10,931","3.7","Q2","0.77","13.9"%,
"CLINICAL THERAPEUTICS","CLIN THER","ELSEVIER","0149-2918","1879-114X","PHARMACOLOGY & PHARMACY","SCIE","9,303","3.7","Q2","0.71","24.56"%,
"Drug Target Insights","DRUG TARGET INSIGHT","ABOUTSCIENCE SRL","1177-3928","1177-3928","PHARMACOLOGY & PHARMACY","ESCI","345","3.7","Q2","0.66","94.44"%,
"Infectious Diseases & Immunity","INFECT DIS IMMUN","LIPPINCOTT WILLIAMS & WILKINS","2096-9511","2693-8839","INFECTIOUS DISEASES","ESCI","238","3.7","Q2","0.26","96.05"%,
"TOXICOLOGY AND APPLIED PHARMACOLOGY","TOXICOL APPL PHARM","ACADEMIC PRESS INC ELSEVIER SCIENCE","0041-008X","1096-0333","PHARMACOLOGY & PHARMACY","SCIE","19,467","3.6","Q2","1","14.37"%,
"DRUG METABOLISM AND DISPOSITION","DRUG METAB DISPOS","ELSEVIER SCIENCE INC","0090-9556","1521-009X","PHARMACOLOGY & PHARMACY","SCIE","13,242","3.6","Q2","0.95","16.83"%,
"BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY","BASIC CLIN PHARMACOL","WILEY","1742-7835","1742-7843","PHARMACOLOGY & PHARMACY","SCIE","5,997","3.6","Q2","0.83","45.12"%,
"SCIENTIA PHARMACEUTICA","SCI PHARM","MDPI","N/A","2218-0532","PHARMACOLOGY & PHARMACY","ESCI","2,492","3.6","Q2","0.65","99.47"%,
"INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE","INT J TUBERC LUNG D","INT UNION AGAINST TUBERCULOSIS and LUNG DISEASE (I U A T L D)","1027-3719","1815-7920","INFECTIOUS DISEASES","SCIE","5,985","3.6","Q2","0.64","12.5"%,
"Expert Review of Clinical Pharmacology","EXPERT REV CLIN PHAR","TAYLOR & FRANCIS LTD","1751-2433","1751-2441","PHARMACOLOGY & PHARMACY","SCIE","3,810","3.6","Q2","0.6","4.09"%,
"Current Pharmaceutical Analysis","CURR PHARM ANAL","KEAI PUBLISHING LTD","1573-4129","1875-676X","PHARMACOLOGY & PHARMACY","SCIE","1,158","3.6","Q2","0.51","23.96"%,
"International Journal for Parasitology-Drugs and Drug Resistance","INT J PARASITOL-DRUG","ELSEVIER SCI LTD","2211-3207","2211-3207","PHARMACOLOGY & PHARMACY","SCIE","1,942","3.5","Q2","1.15","100"%,
"MEDICAL MYCOLOGY","MED MYCOL","OXFORD UNIV PRESS","1369-3786","1460-2709","INFECTIOUS DISEASES","SCIE","6,468","3.5","Q2","0.98","18.48"%,
"BMC Pharmacology & Toxicology","BMC PHARMACOL TOXICO","BMC","N/A","2050-6511","PHARMACOLOGY & PHARMACY","SCIE","2,827","3.5","Q2","0.83","98.79"%,
"CARDIOVASCULAR DRUGS AND THERAPY","CARDIOVASC DRUG THER","SPRINGER","0920-3206","1573-7241","PHARMACOLOGY & PHARMACY","SCIE","3,976","3.5","Q2","0.78","27.34"%,
"PEPTIDES","PEPTIDES","ELSEVIER SCIENCE INC","0196-9781","1873-5169","PHARMACOLOGY & PHARMACY","SCIE","9,353","3.5","Q2","0.78","30.74"%,
"ChemMedChem","CHEMMEDCHEM","WILEY-V C H VERLAG GMBH","1860-7179","1860-7187","PHARMACOLOGY & PHARMACY","SCIE","10,677","3.5","Q2","0.73","31.05"%,
"ARCHIV DER PHARMAZIE","ARCH PHARM","WILEY-V C H VERLAG GMBH","0365-6233","1521-4184","PHARMACOLOGY & PHARMACY","SCIE","5,945","3.5","Q2","0.71","26.49"%,
"EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY","EUR J CLIN PHARMACOL","SPRINGER HEIDELBERG","0031-6970","1432-1041","PHARMACOLOGY & PHARMACY","SCIE","8,649","3.5","Q2","0.67","29.41"%,
"AMERICAN JOURNAL OF THERAPEUTICS","AM J THER","LIPPINCOTT WILLIAMS & WILKINS","1075-2765","1536-3686","PHARMACOLOGY & PHARMACY","SCIE","2,054","3.5","Q2","0.51","14.66"%,
"CURRENT DRUG TARGETS","CURR DRUG TARGETS","BENTHAM SCIENCE PUBL LTD","1389-4501","1873-5592","PHARMACOLOGY & PHARMACY","SCIE","6,601","3.5","Q2","0.4","3.77"%,
"Journal of Hospital Infection","J HOSP INFECT","W B SAUNDERS CO LTD","0195-6701","1532-2939","INFECTIOUS DISEASES","SCIE","10,307","3.4","Q2","0.9","43.19"%,
"Ticks and Tick-Borne Diseases","TICKS TICK-BORNE DIS","ELSEVIER GMBH","1877-959X","1877-9603","INFECTIOUS DISEASES","SCIE","6,299","3.4","Q2","0.9","100"%,
"AAPS Journal","AAPS J","SPRINGER","1550-7416","1550-7416","PHARMACOLOGY & PHARMACY","SCIE","8,411","3.4","Q2","0.88","37.2"%,
"Journal of Pharmaceutical and Biomedical Analysis","J PHARMACEUT BIOMED","ELSEVIER","0731-7085","1873-264X","PHARMACOLOGY & PHARMACY","SCIE","26,168","3.4","Q2","0.82","17.93"%,
"INVESTIGATIONAL NEW DRUGS","INVEST NEW DRUG","SPRINGER","0167-6997","1573-0646","PHARMACOLOGY & PHARMACY","SCIE","5,761","3.4","Q2","0.79","33.73"%,
"INFECTION AND IMMUNITY","INFECT IMMUN","AMER SOC MICROBIOLOGY","0019-9567","1098-5522","INFECTIOUS DISEASES","SCIE","36,589","3.4","Q2","0.74","54.4"%,
"Current Opinion in HIV and AIDS","CURR OPIN HIV AIDS","LIPPINCOTT WILLIAMS & WILKINS","1746-630X","1746-6318","INFECTIOUS DISEASES","SCIE","2,728","3.4","Q2","0.71","24.28"%,
"Clinical Psychopharmacology and Neuroscience","CLIN PSYCHOPHARM NEU","KOREAN COLL NEUROPSYCHOPHARMACOLOGY","1738-1088","2093-4327","PHARMACOLOGY & PHARMACY","SCIE","2,007","3.4","Q2","0.67","99.56"%,
"Therapeutic Delivery","THER DELIV","TAYLOR & FRANCIS LTD","2041-5990","2041-6008","PHARMACOLOGY & PHARMACY","ESCI","2,860","3.4","Q2","0.63","4.37"%,
"EXPERT OPINION ON PHARMACOTHERAPY","EXPERT OPIN PHARMACO","TAYLOR & FRANCIS LTD","1465-6566","1744-7666","PHARMACOLOGY & PHARMACY","SCIE","7,175","3.4","Q2","0.52","4.26"%,
"Journal of the Pediatric Infectious Diseases Society","J PEDIAT INF DIS SOC","OXFORD UNIV PRESS","2048-7193","2048-7207","INFECTIOUS DISEASES","SCIE","2,830","3.3","Q2","1.07","24.28"%,
"PSYCHOPHARMACOLOGY","PSYCHOPHARMACOLOGY","SPRINGER","0033-3158","1432-2072","PHARMACOLOGY & PHARMACY","SCIE","20,433","3.3","Q2","0.89","44.36"%,
"Journal of Managed Care & Specialty Pharmacy","J MANAG CARE SPEC PH","ACAD MANAGED CARE PHARMACY","2376-0540","2376-1032","PHARMACOLOGY & PHARMACY","SCIE","3,917","3.3","Q2","0.86","0.25"%,
"JOURNAL OF PHARMACOKINETICS AND PHARMACODYNAMICS","J PHARMACOKINET PHAR","SPRINGER/PLENUM PUBLISHERS","1567-567X","1573-8744","PHARMACOLOGY & PHARMACY","SCIE","2,179","3.3","Q2","0.77","49.31"%,
"Therapeutic Advances in Drug Safety","THER ADV DRUG SAF","SAGE PUBLICATIONS LTD","2042-0986","2042-0994","PHARMACOLOGY & PHARMACY","SCIE","1,777","3.3","Q2","0.75","100"%,
"JOURNAL OF FOOD AND DRUG ANALYSIS","J FOOD DRUG ANAL","DIGITAL COMMONS BEPRESS","1021-9498","1021-9498","PHARMACOLOGY & PHARMACY","SCIE","5,365","3.3","Q2","0.64","100"%,
"CNS & Neurological Disorders-Drug Targets","CNS NEUROL DISORD-DR","BENTHAM SCIENCE PUBL","1871-5273","1996-3181","PHARMACOLOGY & PHARMACY","SCIE","4,030","3.3","Q2","0.58","1.48"%,
"ANTIVIRAL THERAPY","ANTIVIR THER","SAGE PUBLICATIONS LTD","1359-6535","2040-2058","INFECTIOUS DISEASES","SCIE","1,513","3.3","Q2","0.51","100"%,
"ANTIVIRAL THERAPY","ANTIVIR THER","SAGE PUBLICATIONS LTD","1359-6535","2040-2058","PHARMACOLOGY & PHARMACY","SCIE","1,513","3.3","Q2","0.51","100"%,
"BMC INFECTIOUS DISEASES","BMC INFECT DIS","BMC","N/A","1471-2334","INFECTIOUS DISEASES","SCIE","35,197","3.2","Q2","0.89","99.98"%,
"EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES","EUR J CLIN MICROBIOL","SPRINGER","0934-9723","1435-4373","INFECTIOUS DISEASES","SCIE","11,726","3.2","Q2","0.79","38.95"%,
"HIV MEDICINE","HIV MED","WILEY","1464-2662","1468-1293","INFECTIOUS DISEASES","SCIE","3,330","3.2","Q2","0.79","57.07"%,
"Infection and Drug Resistance","INFECT DRUG RESIST","DOVE MEDICAL PRESS LTD","1178-6973","1178-6973","INFECTIOUS DISEASES","SCIE","13,756","3.2","Q2","0.75","99.5"%,
"Infection and Drug Resistance","INFECT DRUG RESIST","DOVE MEDICAL PRESS LTD","1178-6973","1178-6973","PHARMACOLOGY & PHARMACY","SCIE","13,756","3.2","Q2","0.75","99.5"%,
"International Journal of Clinical Pharmacy","INT J CLIN PHARM-NET","SPRINGER","2210-7703","2210-7711","PHARMACOLOGY & PHARMACY","SCIE","4,981","3.2","Q2","0.75","46.11"%,
"Iranian Journal of Basic Medical Sciences","IRAN J BASIC MED SCI","MASHHAD UNIV MED SCIENCES","2008-3866","2008-3874","PHARMACOLOGY & PHARMACY","SCIE","5,368","3.2","Q2","0.74","0"%,
"Advanced Therapeutics","ADV THER-GERMANY","WILEY-V C H VERLAG GMBH","N/A","2366-3987","PHARMACOLOGY & PHARMACY","SCIE","3,609","3.2","Q2","0.64","34.22"%,
"American Journal of Cardiovascular Drugs","AM J CARDIOVASC DRUG","ADIS INT LTD","1175-3277","1179-187X","PHARMACOLOGY & PHARMACY","SCIE","1,721","3.2","Q2","0.64","28.49"%,
"CURRENT MEDICINAL CHEMISTRY","CURR MED CHEM","BENTHAM SCIENCE PUBL LTD","0929-8673","1875-533X","PHARMACOLOGY & PHARMACY","SCIE","21,442","3.2","Q2","0.51","7.03"%,
"CURRENT PHARMACEUTICAL DESIGN","CURR PHARM DESIGN","BENTHAM SCIENCE PUBL LTD","1381-6128","1873-4286","PHARMACOLOGY & PHARMACY","SCIE","20,926","3.2","Q2","0.5","4.5"%,
"Infectious Disease Modelling","INFECT DIS MODEL","KEAI PUBLISHING LTD","2468-2152","2468-0427","INFECTIOUS DISEASES","ESCI","1,860","3.1","Q2","0.92","100"%,
"Tropical Medicine and Infectious Disease","TROP MED INFECT DIS","MDPI","N/A","2414-6366","INFECTIOUS DISEASES","SCIE","6,722","3.1","Q2","0.84","99.91"%,
"IMMUNOPHARMACOLOGY AND IMMUNOTOXICOLOGY","IMMUNOPHARM IMMUNOT","TAYLOR & FRANCIS LTD","0892-3973","1532-2513","PHARMACOLOGY & PHARMACY","SCIE","3,070","3.1","Q2","0.81","1.83"%,
"Tropical Diseases Travel Medicine and Vaccines","TROP DIS TRAVEL MED","SPRINGERNATURE","2055-0936","2055-0936","INFECTIOUS DISEASES","ESCI","644","3.1","Q2","0.81","100"%,
"AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION","AM J PHARM EDUC","ELSEVIER","0002-9459","1553-6467","PHARMACOLOGY & PHARMACY","SCIE","6,723","3.1","Q2","0.75","94.04"%,
"CLINICAL DRUG INVESTIGATION","CLIN DRUG INVEST","ADIS INT LTD","1173-2563","1179-1918","PHARMACOLOGY & PHARMACY","SCIE","3,039","3.1","Q2","0.68","44.64"%,
"Current Drug Delivery","CURR DRUG DELIV","BENTHAM SCIENCE PUBL LTD","1567-2018","1875-5704","PHARMACOLOGY & PHARMACY","SCIE","3,509","3.1","Q2","0.66","3.66"%,
"Journal of Dietary Supplements","J DIET SUPPL","TAYLOR & FRANCIS LTD","1939-0211","1939-022X","PHARMACOLOGY & PHARMACY","ESCI","1,463","3.1","Q2","0.6","18.87"%,
"JOURNAL OF MICROENCAPSULATION","J MICROENCAPSUL","TAYLOR & FRANCIS LTD","0265-2048","1464-5246","PHARMACOLOGY & PHARMACY","SCIE","3,051","3.1","Q2","0.6","1.49"%,
"MOLECULAR PHARMACOLOGY","MOL PHARMACOL","ELSEVIER","0026-895X","1521-0111","PHARMACOLOGY & PHARMACY","SCIE","11,944","3","Q2","0.79","26.15"%,
"Expert Opinion On Drug Safety","EXPERT OPIN DRUG SAF","TAYLOR & FRANCIS LTD","1474-0338","1744-764X","PHARMACOLOGY & PHARMACY","SCIE","6,175","3","Q2","0.75","2.02"%,
"BRITISH JOURNAL OF CLINICAL PHARMACOLOGY","BRIT J CLIN PHARMACO","WILEY","0306-5251","1365-2125","PHARMACOLOGY & PHARMACY","SCIE","19,109","3","Q2","0.73","48.21"%,
"INTERNATIONAL CLINICAL PSYCHOPHARMACOLOGY","INT CLIN PSYCHOPHARM","LIPPINCOTT WILLIAMS & WILKINS","0268-1315","1473-5857","PHARMACOLOGY & PHARMACY","SCIE","2,187","3","Q2","0.72","28.68"%,
"SEXUALLY TRANSMITTED INFECTIONS","SEX TRANSM INFECT","BMJ PUBLISHING GROUP","1368-4973","1472-3263","INFECTIOUS DISEASES","SCIE","4,312","3","Q2","0.68","33.74"%,
"Infectious Diseases Now","INFECT DIS NOW","ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER","2666-9927","2666-9919","INFECTIOUS DISEASES","SCIE","1,119","3","Q2","0.6","47.44"%,
"AIDS","AIDS","LIPPINCOTT WILLIAMS & WILKINS","0269-9370","1473-5571","INFECTIOUS DISEASES","SCIE","13,944","2.9","Q2","0.81","24.79"%,
"MICROBES AND INFECTION","MICROBES INFECT","ELSEVIER","1286-4579","1769-714X","INFECTIOUS DISEASES","SCIE","6,701","2.9","Q2","0.79","34.32"%,
"ALCOHOL","ALCOHOL","ELSEVIER SCIENCE INC","0741-8329","1873-6823","PHARMACOLOGY & PHARMACY","SCIE","3,173","2.9","Q2","0.75","21.4"%,
"PHARMACEUTICAL DEVELOPMENT AND TECHNOLOGY","PHARM DEV TECHNOL","TAYLOR & FRANCIS LTD","1083-7450","1097-9867","PHARMACOLOGY & PHARMACY","SCIE","4,117","2.9","Q2","0.75","3.42"%,
"CABI One Health","CABI ONE HEALTH","CABI PUBLISHING","N/A","2791-223X","INFECTIOUS DISEASES","ESCI","154","2.9","Q2","0.68","100"%,
"Advances in Pharmacological and Pharmaceutical Sciences","ADV PHARM PHARM SCI","WILEY","2633-4682","2633-4690","PHARMACOLOGY & PHARMACY","ESCI","847","2.9","Q2","0.67","100"%,
"PharmaNutrition","PHARMANUTRITION","ELSEVIER","2213-4344","2213-4344","PHARMACOLOGY & PHARMACY","ESCI","897","2.9","Q2","0.67","23.08"%,
"Fitoterapia","FITOTERAPIA","ELSEVIER","0367-326X","1873-6971","PHARMACOLOGY & PHARMACY","SCIE","12,475","2.9","Q2","0.65","8.69"%,
"JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS","J CARDIOVASC PHARM T","SAGE PUBLICATIONS INC","1074-2484","1940-4034","PHARMACOLOGY & PHARMACY","SCIE","1,424","2.9","Q2","0.62","100"%,
"JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY","J CLIN PSYCHOPHARM","LIPPINCOTT WILLIAMS & WILKINS","0271-0749","1533-712X","PHARMACOLOGY & PHARMACY","SCIE","4,724","2.9","Q2","0.61","19.25"%,
"CURRENT PHARMACEUTICAL BIOTECHNOLOGY","CURR PHARM BIOTECHNO","BENTHAM SCIENCE PUBL LTD","1389-2010","1873-4316","PHARMACOLOGY & PHARMACY","SCIE","5,388","2.9","Q2","0.44","1.38"%,
"CPT-Pharmacometrics & Systems Pharmacology","CPT-PHARMACOMET SYST","WILEY","2163-8306","2163-8306","PHARMACOLOGY & PHARMACY","SCIE","4,495","2.8","Q3","0.8","100"%,
"INTERNATIONAL JOURNAL OF IMMUNOPATHOLOGY AND PHARMACOLOGY","INT J IMMUNOPATH PH","SAGE PUBLICATIONS INC","0394-6320","2058-7384","PHARMACOLOGY & PHARMACY","SCIE","3,205","2.8","Q3","0.8","99.02"%,
"Cardiovascular Therapeutics","CARDIOVASC THER","WILEY","1755-5914","1755-5922","PHARMACOLOGY & PHARMACY","SCIE","1,832","2.8","Q3","0.79","100"%,
"Journal of Pharmacological Sciences","J PHARMACOL SCI","JAPANESE PHARMACOLOGICAL SOC","1347-8613","1347-8648","PHARMACOLOGY & PHARMACY","SCIE","4,858","2.8","Q3","0.77","99.26"%,
"PHARMACOGENOMICS JOURNAL","PHARMACOGENOMICS J","SPRINGERNATURE","1470-269X","1473-1150","PHARMACOLOGY & PHARMACY","SCIE","2,219","2.8","Q3","0.77","28.09"%,
"INFECTION GENETICS AND EVOLUTION","INFECT GENET EVOL","ELSEVIER","1567-1348","1567-7257","INFECTIOUS DISEASES","SCIE","10,573","2.8","Q2","0.76","100"%,
"TOXICON","TOXICON","PERGAMON-ELSEVIER SCIENCE LTD","0041-0101","1879-3150","PHARMACOLOGY & PHARMACY","SCIE","13,546","2.8","Q3","0.72","15.39"%,
"Dose-Response","DOSE-RESPONSE","SAGE PUBLICATIONS INC","1559-3258","1559-3258","PHARMACOLOGY & PHARMACY","SCIE","2,795","2.8","Q3","0.69","100"%,
"AIDS Research and Therapy","AIDS RES THER","BMC","1742-6405","1742-6405","INFECTIOUS DISEASES","SCIE","2,098","2.8","Q2","0.67","100"%,
"PHARMACOLOGY","PHARMACOLOGY","KARGER","0031-7012","1423-0313","PHARMACOLOGY & PHARMACY","SCIE","2,821","2.8","Q3","0.67","15.79"%,
"DARU-Journal of Pharmaceutical Sciences","DARU","SPRINGER INT PUBL AG","N/A","2008-2231","PHARMACOLOGY & PHARMACY","SCIE","2,214","2.8","Q3","0.6","13.01"%,
"Journal of Virus Eradication","J VIRUS ERAD","MEDISCRIPT LTD","2055-6640","2055-6659","INFECTIOUS DISEASES","SCIE","752","2.8","Q2","0.54","100"%,
"Revista Espanola de Quimioterapia","REV ESP QUIM","SOCIEDAD ESPANOLA QUIMIOTERAPIA","0214-3429","1988-9518","PHARMACOLOGY & PHARMACY","SCIE","1,220","2.8","Q3","0.46","99.41"%,
"Journal Of Bone And Joint Infection","J BONE JOINT INFECT","COPERNICUS GESELLSCHAFT MBH","N/A","2206-3552","INFECTIOUS DISEASES","ESCI","907","2.7","Q2","0.95","100"%,
"Therapeutic Advances in Chronic Disease","THER ADV CHRONIC DIS","SAGE PUBLICATIONS LTD","2040-6223","2040-6231","PHARMACOLOGY & PHARMACY","SCIE","2,395","2.7","Q3","0.65","100"%,
"FUNDAMENTAL & CLINICAL PHARMACOLOGY","FUND CLIN PHARMACOL","WILEY","0767-3981","1472-8206","PHARMACOLOGY & PHARMACY","SCIE","3,129","2.7","Q3","0.6","23.79"%,
"JOURNAL OF ANTIBIOTICS","J ANTIBIOT","SPRINGERNATURE","0021-8820","1881-1469","PHARMACOLOGY & PHARMACY","SCIE","8,922","2.7","Q3","0.57","11.79"%,
