"Journal Data Filtered By:  Selected Categories: TOXICOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"NEUROTOXICOLOGY","NEUROTOXICOLOGY","ELSEVIER","0161-813X","1872-9711","TOXICOLOGY","SCIE","8,095","3.8","Q2","0.98","17.18"%,
"NEUROTOXICOLOGY AND TERATOLOGY","NEUROTOXICOL TERATOL","PERGAMON-ELSEVIER SCIENCE LTD","0892-0362","1872-9738","TOXICOLOGY","SCIE","3,182","3.7","Q2","0.79","15.57"%,
"FOOD AND AGRICULTURAL IMMUNOLOGY","FOOD AGR IMMUNOL","TAYLOR & FRANCIS LTD","0954-0105","1465-3443","TOXICOLOGY","SCIE","1,603","3.7","Q2","0.49","100"%,
"TOXICOLOGY AND APPLIED PHARMACOLOGY","TOXICOL APPL PHARM","ACADEMIC PRESS INC ELSEVIER SCIENCE","0041-008X","1096-0333","TOXICOLOGY","SCIE","19,467","3.6","Q2","1","14.37"%,
"BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY","BASIC CLIN PHARMACOL","WILEY","1742-7835","1742-7843","TOXICOLOGY","SCIE","5,997","3.6","Q2","0.83","45.12"%,
"CLINICAL TOXICOLOGY","CLIN TOXICOL","TAYLOR & FRANCIS LTD","1556-3650","1556-9519","TOXICOLOGY","SCIE","5,127","3.6","Q2","0.78","9.28"%,
"JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY","J BIOCHEM MOL TOXIC","WILEY","1095-6670","1099-0461","TOXICOLOGY","SCIE","7,581","3.6","Q2","0.72","11.59"%,
"ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","ENVIRON TOXICOL CHEM","OXFORD UNIV PRESS","0730-7268","1552-8618","TOXICOLOGY","SCIE","19,747","3.6","Q2","0.69","42.13"%,
"Nanotoxicology","NANOTOXICOLOGY","TAYLOR & FRANCIS LTD","1743-5390","1743-5404","TOXICOLOGY","SCIE","4,009","3.6","Q2","0.58","17.54"%,
"BMC Pharmacology & Toxicology","BMC PHARMACOL TOXICO","BMC","N/A","2050-6511","TOXICOLOGY","SCIE","2,827","3.5","Q2","0.83","98.79"%,
"HUMAN & EXPERIMENTAL TOXICOLOGY","HUM EXP TOXICOL","SAGE PUBLICATIONS LTD","0960-3271","1477-0903","TOXICOLOGY","SCIE","5,767","3.5","Q2","0.82","100"%,
"Mycotoxin Research","MYCOTOXIN RES","SPRINGER HEIDELBERG","0178-7888","1867-1632","TOXICOLOGY","SCIE","1,673","3.5","Q2","0.82","32.39"%,
"REPRODUCTIVE TOXICOLOGY","REPROD TOXICOL","PERGAMON-ELSEVIER SCIENCE LTD","0890-6238","1873-1708","TOXICOLOGY","SCIE","8,160","3.4","Q2","0.92","19.1"%,
"MARINE ENVIRONMENTAL RESEARCH","MAR ENVIRON RES","ELSEVIER SCI LTD","0141-1136","1879-0291","TOXICOLOGY","SCIE","12,336","3.4","Q2","0.9","26.61"%,
"Cardiovascular Toxicology","CARDIOVASC TOXICOL","HUMANA PRESS INC","1530-7905","1559-0259","TOXICOLOGY","SCIE","2,641","3.3","Q2","0.92","22.07"%,
"Toxicological Research","TOXICOL RES-GER","KOREAN SOC TOXICOLOGY","1976-8257","2234-2753","TOXICOLOGY","SCIE","1,804","3.3","Q2","0.67","14.72"%,
"Integrated Environmental Assessment and Management","INTEGR ENVIRON ASSES","OXFORD UNIV PRESS","1551-3777","1551-3793","TOXICOLOGY","SCIE","4,831","3.3","Q2","0.56","41.12"%,
"DNA REPAIR","DNA REPAIR","ELSEVIER","1568-7864","1568-7856","TOXICOLOGY","SCIE","6,424","3.2","Q2","0.84","40.14"%,
"FOOD AND CHEMICAL TOXICOLOGY","FOOD CHEM TOXICOL","PERGAMON-ELSEVIER SCIENCE LTD","0278-6915","1873-6351","TOXICOLOGY","SCIE","37,929","3.2","Q2","0.79","13.6"%,
"Toxicon-X","TOXICON-X","ELSEVIER","2590-1710","2590-1710","TOXICOLOGY","ESCI","647","3.2","Q2","0.74","100"%,
"MUTAGENESIS","MUTAGENESIS","OXFORD UNIV PRESS","0267-8357","1464-3804","TOXICOLOGY","SCIE","2,598","3.1","Q2","1.08","43.21"%,
"Computational Toxicology","COMPUT TOXICOL","ELSEVIER","2468-1113","2468-1113","TOXICOLOGY","ESCI","1,020","3.1","Q2","0.85","29.77"%,
"IMMUNOPHARMACOLOGY AND IMMUNOTOXICOLOGY","IMMUNOPHARM IMMUNOT","TAYLOR & FRANCIS LTD","0892-3973","1532-2513","TOXICOLOGY","SCIE","3,070","3.1","Q2","0.81","1.83"%,
"TOXICOLOGY LETTERS","TOXICOL LETT","ELSEVIER IRELAND LTD","0378-4274","1879-3169","TOXICOLOGY","SCIE","13,867","3.1","Q2","0.77","24.47"%,
"JOURNAL OF APPLIED TOXICOLOGY","J APPL TOXICOL","WILEY","0260-437X","1099-1263","TOXICOLOGY","SCIE","6,957","3.1","Q2","0.67","17.95"%,
"ALCOHOL","ALCOHOL","ELSEVIER SCIENCE INC","0741-8329","1873-6823","TOXICOLOGY","SCIE","3,173","2.9","Q3","0.75","21.4"%,
"TOXICOLOGY MECHANISMS AND METHODS","TOXICOL MECH METHOD","TAYLOR & FRANCIS LTD","1537-6516","1537-6524","TOXICOLOGY","SCIE","2,935","2.9","Q3","0.75","6.56"%,
"Toxicology Research","TOXICOL RES-UK","OXFORD UNIV PRESS","2045-452X","2045-4538","TOXICOLOGY","SCIE","3,420","2.9","Q3","0.62","9.6"%,
"TOXICON","TOXICON","PERGAMON-ELSEVIER SCIENCE LTD","0041-0101","1879-3150","TOXICOLOGY","SCIE","13,546","2.8","Q3","0.72","15.39"%,
"MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS","MUTAT RES-GEN TOX EN","ELSEVIER","1383-5718","1879-3592","TOXICOLOGY","SCIE","4,756","2.8","Q3","0.69","18.71"%,
"Journal of Toxicology","J TOXICOL-US","WILEY","1687-8191","1687-8205","TOXICOLOGY","ESCI","1,685","2.8","Q3","0.63","100"%,
"SAR AND QSAR IN ENVIRONMENTAL RESEARCH","SAR QSAR ENVIRON RES","TAYLOR & FRANCIS LTD","1062-936X","1029-046X","TOXICOLOGY","SCIE","1,455","2.8","Q3","0.59","3.23"%,
"TOXICOLOGY IN VITRO","TOXICOL IN VITRO","PERGAMON-ELSEVIER SCIENCE LTD","0887-2333","1879-3177","TOXICOLOGY","SCIE","10,284","2.7","Q3","0.72","24.38"%,
"ECOTOXICOLOGY","ECOTOXICOLOGY","SPRINGER","0963-9292","1573-3017","TOXICOLOGY","SCIE","6,399","2.7","Q3","0.64","18.26"%,
"JOURNAL OF ANALYTICAL TOXICOLOGY","J ANAL TOXICOL","OXFORD UNIV PRESS INC","0146-4760","1945-2403","TOXICOLOGY","SCIE","4,447","2.7","Q3","0.62","18.71"%,
"Journal of Environmental Exposure Assessment","J ENVIRON EXPO ASSES","OAE PUBLISHING INC","N/A","2771-5949","TOXICOLOGY","ESCI","234","2.7","Q3","0.61","83.15"%,
"Toxin Reviews","TOXIN REV","TAYLOR & FRANCIS INC","1556-9543","1556-9551","TOXICOLOGY","SCIE","1,920","2.7","Q3","0.6","1.94"%,
"ENVIRONMENTAL AND MOLECULAR MUTAGENESIS","ENVIRON MOL MUTAGEN","WILEY","0893-6692","1098-2280","TOXICOLOGY","SCIE","3,051","2.7","Q3","0.56","44.35"%,
