"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;MATHEMATICAL & COMPUTATIONAL BIOLOGY;STATISTICS & PROBABILITY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Digital Discovery","DIGIT DISCOV","ROYAL SOC CHEMISTRY","N/A","2635-098X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","3,710","7.1","Q1","1.09","100"%,
"Journal of Computational Design and Engineering","J COMPUT DES ENG","OXFORD UNIV PRESS","N/A","2288-5048","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","3,821","6.8","Q1","1.51","99.72"%,
"Electronic Commerce Research and Applications","ELECTRON COMMER R A","ELSEVIER","1567-4223","1873-7846","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","6,219","6.8","Q1","1.27","12.9"%,
"Visual Computing for Industry Biomedicine and Art","VIS COMPUT IND BIOME","SPRINGER SINGAPORE PTE LTD","N/A","2524-4442","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","857","6.7","Q1","0.84","100"%,
"STATISTICAL SCIENCE","STAT SCI","INST MATHEMATICAL STATISTICS-IMS","0883-4237","2168-8745","STATISTICS & PROBABILITY","SCIE","9,500","6.6","Q1","2.1","2.33"%,
"Blockchain-Research and Applications","BLOCKCHAIN-RES APPL","ELSEVIER","2096-7209","2096-7209","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","1,172","6.5","Q1","1.49","100"%,
"Journal of Infrastructure Intelligence and Resilience","J INFRASTRUCT INTELL","ELSEVIER","N/A","2772-9915","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","418","6.5","Q1","0.91","100"%,
"AI","AI-BASEL","MDPI","N/A","2673-2688","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","2,218","6.5","Q1","0.76","100"%,
"INTEGRATED COMPUTER-AIDED ENGINEERING","INTEGR COMPUT-AID E","SAGE PUBLICATIONS INC","1069-2509","1875-8835","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","765","6.4","Q1","1.28","20"%,
"Journal of Chemical Information and Modeling","J CHEM INF MODEL","AMER CHEMICAL SOC","1549-9596","1549-960X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","46,598","6.4","Q1","1.17","30.5"%,
"Computer Methods and Programs in Biomedicine","COMPUT METH PROG BIO","ELSEVIER IRELAND LTD","0169-2607","1872-7565","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","24,674","6.4","Q1","1.09","34.12"%,
"Intelligent Computing","INTELL COMPUT-WASH","AMER ASSOC ADVANCEMENT SCIENCE","N/A","2771-5892","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","528","6.4","Q1","0.72","100"%,
"ADVANCES IN ENGINEERING SOFTWARE","ADV ENG SOFTW","ELSEVIER SCI LTD","0965-9978","1873-5339","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","12,783","6.3","Q1","1.4","18.39"%,
"ECONOMETRICA","ECONOMETRICA","WILEY","0012-9682","1468-0262","STATISTICS & PROBABILITY","SCIE","48,459","6.2","Q1","2.63","26.19"%,
"Machine Learning with Applications","MACH LEARN APPL-NETH","ELSEVIER","N/A","2666-8270","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","3,314","6.1","Q1","1.16","100"%,
"Wiley Interdisciplinary Reviews-Computational Statistics","WIRES COMPUT STAT","WILEY","1939-0068","1939-0068","STATISTICS & PROBABILITY","SCIE","6,408","6.1","Q1","0.93","34.78"%,
"INDUSTRIAL MANAGEMENT & DATA SYSTEMS","IND MANAGE DATA SYST","EMERALD GROUP PUBLISHING LTD","0263-5577","1758-5783","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","9,746","6.1","Q1","0.9","1.93"%,
"IEEE Open Journal of the Computer Society","IEEE OPEN J COMP SOC","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","2644-1268","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","1,217","6","Q2","1.35","100"%,
"Computers & Education: X Reality","COMPUT EDUC-X REAL","ELSEVIER","N/A","2949-6780","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","510","5.9","Q2","1.33","100"%,
"JOURNAL OF BIOMEDICAL INFORMATICS","J BIOMED INFORM","ACADEMIC PRESS INC ELSEVIER SCIENCE","1532-0464","1532-0480","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","21,675","5.9","Q2","1","33.8"%,
"JOURNAL OF COMPUTING IN CIVIL ENGINEERING","J COMPUT CIVIL ENG","ASCE-AMER SOC CIVIL ENGINEERS","0887-3801","1943-5487","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","5,886","5.8","Q2","1.08","3.7"%,
"COMPUTERS & STRUCTURES","COMPUT STRUCT","PERGAMON-ELSEVIER SCIENCE LTD","0045-7949","1879-2243","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","17,903","5.6","Q2","1","27.86"%,
"BIOINFORMATICS","BIOINFORMATICS","OXFORD UNIV PRESS","1367-4803","1367-4811","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","194,389","5.5","Q1","1.59","99.95"%,
"COMPUTERS & ELECTRICAL ENGINEERING","COMPUT ELECTR ENG","PERGAMON-ELSEVIER SCIENCE LTD","0045-7906","1879-0755","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","17,455","5.5","Q2","1.07","12.03"%,
"Intelligent Systems with Applications","INTELL SYST APPL","ELSEVIER","N/A","2667-3053","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","2,543","5.5","Q2","0.96","100"%,
"VIRTUAL REALITY","VIRTUAL REAL-LONDON","SPRINGER LONDON LTD","1359-4338","1434-9957","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","5,907","5.4","Q2","1.04","87.87"%,
"Artificial Intelligence and Law","ARTIF INTELL LAW","SPRINGER","0924-8463","1572-8382","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,421","5.3","Q2","2.04","47.48"%,
"International Journal of Information and Learning Technology","INT J INF LEARN TECH","EMERALD GROUP PUBLISHING LTD","2056-4880","2056-4880","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","947","5.3","Q2","0.77","7.29"%,
"Interdisciplinary Sciences-Computational Life Sciences","INTERDISCIP SCI","SPRINGER HEIDELBERG","1913-2751","1867-1462","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,841","5.2","Q1","1.19","6.45"%,
"ENVIRONMENTAL MODELLING & SOFTWARE","ENVIRON MODELL SOFTW","ELSEVIER SCI LTD","1364-8152","1873-6726","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","20,197","5.2","Q2","0.86","42.24"%,
"Computers","COMPUTERS","MDPI","2073-431X","2073-431X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","5,733","5.2","Q2","0.73","100"%,
"Informatics-Basel","INFORMATICS-BASEL","MDPI","N/A","2227-9709","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","2,250","5.1","Q2","0.6","100"%,
"COMPUTERS & CHEMICAL ENGINEERING","COMPUT CHEM ENG","PERGAMON-ELSEVIER SCIENCE LTD","0098-1354","1873-4375","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","18,223","4.9","Q2","0.74","32.09"%,
"Health Data Science","HEALTH DATA SCI","AMER ASSOC ADVANCEMENT SCIENCE","N/A","2765-8783","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","391","4.8","Q2","0.75","100"%,
"Harvard Data Science Review","HARVARD DATA SCI REV","MIT PRESS","2688-8513","2644-2353","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","1,218","4.8","Q2","0.48","98.17"%,
"Harvard Data Science Review","HARVARD DATA SCI REV","MIT PRESS","2688-8513","2644-2353","STATISTICS & PROBABILITY","ESCI","1,218","4.8","Q1","0.48","98.17"%,
"SIMULATION MODELLING PRACTICE AND THEORY","SIMUL MODEL PRACT TH","ELSEVIER","1569-190X","1878-1462","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","5,275","4.6","Q2","0.99","17.9"%,
"COMPUTERS & OPERATIONS RESEARCH","COMPUT OPER RES","PERGAMON-ELSEVIER SCIENCE LTD","0305-0548","1873-765X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","19,387","4.6","Q2","0.79","29.83"%,
"STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION","STRUCT MULTIDISCIP O","SPRINGER","1615-147X","1615-1488","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","18,491","4.5","Q2","0.94","25.81"%,
"npj Systems Biology and Applications","NPJ SYST BIOL APPL","NATURE PORTFOLIO","N/A","2056-7189","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","2,070","4.4","Q1","1","100"%,
"Visual Informatics","VIS INFORM","ELSEVIER","2468-502X","2468-502X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","843","4.4","Q2","0.97","100"%,
"BMC BIOINFORMATICS","BMC BIOINFORMATICS","BMC","1471-2105","1471-2105","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","55,978","4.4","Q1","0.96","100"%,
"Computers and Concrete","COMPUT CONCRETE","TECHNO-PRESS","1598-8198","1598-818X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","2,532","4.4","Q2","0.83","0"%,
"SOCIAL SCIENCE COMPUTER REVIEW","SOC SCI COMPUT REV","SAGE PUBLICATIONS INC","0894-4393","1552-8286","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","4,294","4.3","Q2","1.01","35.43"%,
"INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING","INT J COMPUT INTEG M","TAYLOR & FRANCIS LTD","0951-192X","1362-3052","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","3,854","4.3","Q2","0.71","9.83"%,
"Earth Science Informatics","EARTH SCI INFORM","SPRINGER HEIDELBERG","1865-0473","1865-0481","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","5,925","4.2","Q2","0.8","11.9"%,
"Machine Learning-Science and Technology","MACH LEARN-SCI TECHN","IOP Publishing Ltd","N/A","2632-2153","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","4,910","4.2","Q2","0.79","100"%,
"Econometrics Journal","ECONOMET J","OXFORD UNIV PRESS","1368-4221","1368-423X","STATISTICS & PROBABILITY","SCIE","3,120","4.1","Q1","2.26","22.73"%,
"IEEE-ACM Transactions on Computational Biology and Bioinformatics","IEEE ACM T COMPUT BI","IEEE COMPUTER SOC","1545-5963","1557-9964","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","6,707","4.1","Q2","1.37","5.2"%,
"IEEE-ACM Transactions on Computational Biology and Bioinformatics","IEEE ACM T COMPUT BI","IEEE COMPUTER SOC","1545-5963","1557-9964","STATISTICS & PROBABILITY","SCIE","6,707","4.1","Q1","1.37","5.2"%,
"PROBABILISTIC ENGINEERING MECHANICS","PROBABILIST ENG MECH","ELSEVIER SCI LTD","0266-8920","1878-4275","STATISTICS & PROBABILITY","SCIE","4,658","4.1","Q1","1.18","15.96"%,
"Cybersecurity","CYBERSECURITY","SPRINGERNATURE","2523-3246","2523-3246","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","1,584","4.1","Q2","0.86","99.61"%,
"ENGINEERING WITH COMPUTERS","ENG COMPUT-GERMANY","SPRINGER","0177-0667","1435-5663","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","9,039","4.1","Q2","0.78","33.41"%,
"COMPUTERS & GEOSCIENCES","COMPUT GEOSCI-UK","PERGAMON-ELSEVIER SCIENCE LTD","0098-3004","1873-7803","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","16,864","4.1","Q2","0.74","25.35"%,
"JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION","J AM STAT ASSOC","TAYLOR & FRANCIS INC","0162-1459","1537-274X","STATISTICS & PROBABILITY","SCIE","53,069","4","Q1","1.64","14.57"%,
"ACM Transactions on Computing for Healthcare","ACM T COMPUT HEALTHC","ASSOC COMPUTING MACHINERY","2691-1957","2637-8051","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","1,175","4","Q2","1.56","27.45"%,
"MATHEMATICS AND COMPUTERS IN SIMULATION","MATH COMPUT SIMULAT","ELSEVIER","0378-4754","1872-7166","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","11,408","4","Q2","1.5","15.38"%,
"Applied Computing and Geosciences","APPL COMPUT GEOSCI","ELSEVIER","2590-1974","2590-1974","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","680","4","Q2","0.85","100"%,
"Journal of Computational Science","J COMPUT SCI-NETH","ELSEVIER","1877-7503","1877-7511","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","5,644","4","Q2","0.82","27.08"%,
"Current Opinion in Systems Biology","CURR OPIN SYST BIOL","ELSEVIER","2452-3100","2452-3100","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","1,298","4","Q1","0.74","57.81"%,
"International Journal of Computational Intelligence Systems","INT J COMPUT INT SYS","SPRINGERNATURE","1875-6891","1875-6883","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","4,052","4","Q2","0.66","100"%,
"JOURNAL OF COMPUTATIONAL PHYSICS","J COMPUT PHYS","ACADEMIC PRESS INC ELSEVIER SCIENCE","0021-9991","1090-2716","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","78,275","3.9","Q2","1.09","26.28"%,
"COMPUTER PHYSICS COMMUNICATIONS","COMPUT PHYS COMMUN","ELSEVIER","0010-4655","1879-2944","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","41,347","3.9","Q2","1.03","38.61"%,
"Foundations and Trends in Communications and Information Theory","FOUND TRENDS COMMUN","NOW PUBLISHERS INC","1567-2190","1567-2328","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","844","3.9","Q2","0.92","0"%,
"Journal of Informetrics","J INFORMETR","ELSEVIER","1751-1577","1875-5879","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","8,774","3.9","Q2","0.89","25.45"%,
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","J R STAT SOC B","OXFORD UNIV PRESS","1369-7412","1467-9868","STATISTICS & PROBABILITY","SCIE","34,795","3.8","Q1","2.05","29.31"%,
"CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS","CHEMOMETR INTELL LAB","ELSEVIER","0169-7439","1873-3239","STATISTICS & PROBABILITY","SCIE","12,276","3.8","Q1","1.05","25.39"%,
"STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT","STOCH ENV RES RISK A","SPRINGER","1436-3240","1436-3259","STATISTICS & PROBABILITY","SCIE","7,853","3.8","Q1","0.95","18.85"%,
"SCIENTOMETRICS","SCIENTOMETRICS","SPRINGER","0138-9130","1588-2861","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","23,463","3.8","Q2","0.86","35.46"%,
"Frontiers in Big Data","FRONT BIG DATA","FRONTIERS MEDIA SA","N/A","2624-909X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","2,258","3.8","Q2","0.52","100"%,
"ANNALS OF STATISTICS","ANN STAT","INST MATHEMATICAL STATISTICS-IMS","0090-5364","N/A","STATISTICS & PROBABILITY","SCIE","31,423","3.7","Q1","1.87","1.94"%,
"PLoS Computational Biology","PLOS COMPUT BIOL","PUBLIC LIBRARY SCIENCE","1553-734X","1553-7358","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","47,721","3.7","Q1","0.96","99.96"%,
"JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING","J COMPUT INF SCI ENG","ASME","1530-9827","1944-7078","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","2,528","3.7","Q2","0.71","6.23"%,
"Computational Urban Science","COMPUT URBAN SCI","SPRINGERNATURE","N/A","2730-6852","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","747","3.7","Q2","0.61","100"%,
"Frontiers in Bioinformatics","FRONT BIOINFORM","FRONTIERS MEDIA SA","N/A","2673-7647","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","1,615","3.6","Q1","0.84","100"%,
